image_path,question,answer
images/small/fa/fa3d2acd.jpg,What material is the wire?,Metal
images/small/fa/fa65ec33.jpg,What color is the background?,Black
images/small/fa/fa65ec33.jpg,Are skulls present?,Yes
images/small/fa/fa88c27d.jpg,What is the color?,Orange
images/small/fa/fa88c27d.jpg,Is it a phone?,Yes
images/small/fa/fa1b7afa.jpg,What vegetable is pictured?,Broccoli
images/small/fa/fa1b7afa.jpg,What brand is it?,365
images/small/fa/faafdfb1.jpg,What is the color on bottom?,Black
images/small/fa/faafdfb1.jpg,Is the shape curved?,Yes
images/small/fa/fabf03eb.jpg,What product is shown?,Sleeve
images/small/fa/fabf03eb.jpg,What color is it?,Blue
images/small/fa/fa461b25.jpg,What is the main stone color?,Red
images/small/fa/fa461b25.jpg,What is the item?,Ring
images/small/fa/fa6a99a8.jpg,What product is shown?,Phone
images/small/fa/fa6a99a8.jpg,What color are flowers?,Pink
images/small/fa/fa264514.jpg,What kind of sweet are these?,Marshmallow
images/small/fa/fa264514.jpg,How many bears are pictured?,Three
images/small/fa/fa5c9da1.jpg,What shape is the product?,Rectangular
images/small/fa/fa5c9da1.jpg,Is it sparkling?,Yes
images/small/fa/fa62f317.jpg,What is the color?,Silver
images/small/fa/fa62f317.jpg,How many screws?,Four
images/small/fa/fabd513c.jpg,What is the color?,Black
images/small/fa/fabd513c.jpg,How many items?,Two
images/small/fa/fae3d857.jpg,What is the object?,Chair
images/small/fa/fae3d857.jpg,What color is it?,Gray
images/small/fa/fa1fc75c.jpg,What type of battery is shown?,AA
images/small/fa/fa1fc75c.jpg,What brand is it?,AmazonBasics
images/small/fa/fab041d4.jpg,What color is the surface?,Gray
images/small/fa/fab041d4.jpg,Is it fluffy?,No
images/small/fa/fa282c9a.jpg,Is it a phone?,Yes
images/small/fa/fa282c9a.jpg,What is the cover's color?,Yellow
images/small/fa/faee87be.jpg,What is the item?,Wallet
images/small/fa/faee87be.jpg,What is the material?,Leather
images/small/fa/fa3ef8b6.jpg,What product is shown?,Tissues
images/small/fa/fa3ef8b6.jpg,What color are the tissues?,White
images/small/fa/fa58d452.jpg,What kind of beans are listed?,Garbanzo
images/small/fa/fa58d452.jpg,Is milk processed?,Yes
images/small/fa/fa0c4b30.jpg,What is the item?,Pot
images/small/fa/fa0c4b30.jpg,What color is the handle?,Gray
images/small/fa/fac92151.jpg,What are those?,Cases
images/small/fa/fac92151.jpg,Are there two?,Yes
images/small/fa/fab13754.jpg,What is the product?,Coffee
images/small/fa/fab13754.jpg,What is the roast?,Medium
images/small/fa/fa701594.jpg,What shape are the dividers?,Rectangular
images/small/fa/fa701594.jpg,What is the material?,Plastic
images/small/fa/faea6c65.jpg,What are shown?,Facts
images/small/fa/faea6c65.jpg,What measurement is 'oz'?,Ounce
images/small/fa/fa680ab8.jpg,What shape are the adornments?,Hearts
images/small/fa/fa680ab8.jpg,What color is the case?,Red
images/small/fa/fa3c0cd9.jpg,What is pictured?,Case
images/small/fa/fa3c0cd9.jpg,Is it shiny?,Yes
images/small/fa/fa71a60e.jpg,Is there an active ingredient listed?,Yes
images/small/fa/fa71a60e.jpg,What color is the background?,Orange
images/small/fa/fae4cd51.jpg,What is shown?,Door
images/small/fa/fae4cd51.jpg,What color is the handle?,Gold
images/small/fa/fa816efb.jpg,What product is shown?,UPS
images/small/fa/fa816efb.jpg,What color is the object?,Black
images/small/fa/fa420cac.jpg,What is the item?,Sofa
images/small/fa/fa420cac.jpg,What is the height?,Thirty-two
images/small/fa/fac1f0f7.jpg,What flavor is advertised?,Chococino
images/small/fa/fac1f0f7.jpg,How many capsules included?,Eight
images/small/fa/fa263a4d.jpg,What color is the rod?,Black
images/small/fa/fa263a4d.jpg,What shape is the end?,Round
images/small/fa/fa86e71d.jpg,What's the serving size?,Slice
images/small/fa/fa86e71d.jpg,How many servings?,Six
images/small/fa/fa4c36de.jpg,What is the product?,Spices
images/small/fa/fa4c36de.jpg,What color is the container?,Blue
images/small/fa/fa1aaca2.jpg,What product is shown?,Phone
images/small/fa/fa1aaca2.jpg,Is there a camera?,Yes
images/small/fa/fa279d70.jpg,What shape are the panels?,Square
images/small/fa/fa279d70.jpg,How many panes are present?,Nine
images/small/fa/fafdf504.jpg,What color is the tag?,Red
images/small/fa/fafdf504.jpg,Is gum mentioned?,Yes
images/small/fa/fa5032f6.jpg,What is the item?,Faucet
images/small/fa/fa5032f6.jpg,What color is it?,Silver
images/small/fa/faa31ba1.jpg,What brand is displayed?,Amazonbasics
images/small/fa/faa31ba1.jpg,What color is visible?,Blue
images/small/fa/fad5100f.jpg,What product is shown?,Case
images/small/fa/fad5100f.jpg,Is glitter visible?,Yes
images/small/fa/fadc4e49.jpg,What is this?,Fan
images/small/fa/fadc4e49.jpg,What color is it?,White
images/small/fa/fa5b3551.jpg,What is covered?,Phone
images/small/fa/fa5b3551.jpg,How many brushes?,Multiple
images/small/fa/fa01e197.jpg,What product is shown?,Case
images/small/fa/fa01e197.jpg,What is the case's color?,Pink
images/small/fa/fa857b89.jpg,Is there a mountain?,Yes
images/small/fa/fa857b89.jpg,What is the color of sky?,Orange
images/small/fa/fab45fb8.jpg,What material is the product?,Terrycloth
images/small/fa/fab45fb8.jpg,What color is the towel?,White
images/small/fa/faf67678.jpg,What is pictured?,Food
images/small/fa/faf67678.jpg,What color is the packaging?,Pink
images/small/fa/fafd0f97.jpg,Is there a barcode?,Yes
images/small/fa/fafd0f97.jpg,What color is the background?,Blue
images/small/fa/fa5e3cb6.jpg,What is the product?,Lightbulb
images/small/fa/fa5e3cb6.jpg,What color is it?,White
images/small/fa/fa491686.jpg,What is shown?,Phone
images/small/fa/fa491686.jpg,Is there a dog?,Yes
images/small/fa/fa9d00de.jpg,What color is the cart?,Red
images/small/fa/fa9d00de.jpg,What is the shelf material?,Mesh
images/small/fa/fa4df5eb.jpg,What is shown?,Lamp
images/small/fa/fa4df5eb.jpg,What color is it?,Black
images/small/fa/fa56cc28.jpg,What is the product?,Shoes
images/small/fa/fa56cc28.jpg,Are flowers visible?,Yes
images/small/fa/fa08b669.jpg,What color is the mount?,Black
images/small/fa/fa08b669.jpg,Are knobs present?,Yes
images/small/fa/fa6e41f7.jpg,What brand is shown?,Solimo
images/small/fa/fa6e41f7.jpg,What is the product?,Sunscreen
images/small/fa/fa1956d5.jpg,What is the main color?,Gray
images/small/fa/fa1956d5.jpg,Is there a laptop?,Yes
images/small/fa/fa544d38.jpg,What is the main object?,Necklace
images/small/fa/fa544d38.jpg,Is a person visible?,Yes
images/small/fa/fa569622.jpg,What is the background color?,White
images/small/fa/fa569622.jpg,Is there a logo?,Yes
images/small/fa/fade685f.jpg,What is the product?,Wallet
images/small/fa/fade685f.jpg,What color is it?,Black
images/small/fa/fa1e8c8a.jpg,What is the object?,Spoon
images/small/fa/fa1e8c8a.jpg,What material is it?,Metal
images/small/fa/faf92cf6.jpg,What is the color?,Pink
images/small/fa/faf92cf6.jpg,Is it a phone?,Yes
images/small/fa/fa897739.jpg,What is this?,Rack
images/small/fa/fa897739.jpg,How many levels?,Three
images/small/fa/fa2004e5.jpg,What is this?,Case
images/small/fa/fa2004e5.jpg,What shape are the decorations?,Heart
images/small/fa/fa817297.jpg,What material appears present?,Wood
images/small/fa/fa817297.jpg,Is there a camera?,Yes
images/small/fa/fae388f9.jpg,What color is it?,Red
images/small/fa/fae388f9.jpg,What is it?,Strap
images/small/fa/fa3da9fa.jpg,What footwear is shown?,Sandal
images/small/fa/fa3da9fa.jpg,What color is the sandal?,Black
images/small/fa/fa46ffe2.jpg,What color is the product?,Blue
images/small/fa/fa46ffe2.jpg,Are there stripes?,Yes
images/small/fa/fa22ac5d.jpg,What is the product?,Case
images/small/fa/fa22ac5d.jpg,Is there a heart?,Yes
images/small/fa/faf3de9e.jpg,What is the material?,Metal
images/small/fa/faf3de9e.jpg,Is it empty?,Yes
images/small/fa/faca6843.jpg,What is the product?,Phone
images/small/fa/faca6843.jpg,Is there a tree?,Yes
images/small/fa/fad8f7c6.jpg,What product is shown?,Case
images/small/fa/fad8f7c6.jpg,What color is the case?,Pink
images/small/fa/fa0d1719.jpg,What color is the case?,Black
images/small/fa/fa0d1719.jpg,Is there a floral pattern?,Yes
images/small/fa/fa482d1c.jpg,What is the product?,Sandal
images/small/fa/fa482d1c.jpg,What color is it?,Black
images/small/fa/fad382fa.jpg,What shape is the glass?,Curved
images/small/fa/fad382fa.jpg,Is the glass transparent?,Yes
images/small/fa/faa1fdb0.jpg,What is the background color?,Black
images/small/fa/faa1fdb0.jpg,Are there butterflies?,Yes
images/small/fa/fa26c1d5.jpg,What is the unit of measurement?,cm
images/small/fa/fa26c1d5.jpg,Is the package transparent?,Yes
images/small/fa/fa3c50ca.jpg,What color is the phone case?,Red
images/small/fa/fa3c50ca.jpg,Is the case glittery?,Yes
images/small/fa/fa1a33dc.jpg,What is the wheel's color?,Red
images/small/fa/fa1a33dc.jpg,What shape is the bracket?,Angular
images/small/fa/fac47e20.jpg,Is it a phone?,Yes
images/small/fa/fac47e20.jpg,What is the primary color?,Brown
images/small/fa/fab88ae1.jpg,What is the material?,Jute
images/small/fa/fab88ae1.jpg,Is it braided?,Yes
images/small/fa/faf242b8.jpg,What color are the jeans?,Black
images/small/fa/faf242b8.jpg,Is the shirt striped?,Yes
images/small/fa/fab616f6.jpg,What device is pictured?,Phone
images/small/fa/fab616f6.jpg,What instrument is featured?,Piano
images/small/fa/fac5bac4.jpg,What shape is the clock?,Round
images/small/fa/fac5bac4.jpg,What is pictured?,Eiffel
images/small/fa/fa72fd88.jpg,What is listed first?,Milk
images/small/fa/fa72fd88.jpg,Is refrigeration required?,Yes
images/small/fa/fa4ae260.jpg,What is the product?,Binder
images/small/fa/fa4ae260.jpg,What color is it?,Yellow
images/small/fa/fa7f3f1c.jpg,Is this skincare?,Yes
images/small/fa/fa7f3f1c.jpg,What color is the cap?,Peach
images/small/fa/fa991de6.jpg,What footwear?,Shoes
images/small/fa/fa991de6.jpg,What color?,Blue
images/small/fa/fadaa0f1.jpg,What is the color?,Gray
images/small/fa/fadaa0f1.jpg,Are attachments included?,Yes
images/small/fa/fa888b3f.jpg,Is this a phone?,Yes
images/small/fa/fa888b3f.jpg,What color is dominant?,Black
images/small/fa/faa571af.jpg,What is the handle color?,Blue
images/small/fa/faa571af.jpg,What is shown?,Pan
images/small/fa/fa2a7c66.jpg,Is salt an ingredient?,Yes
images/small/fa/fa2a7c66.jpg,Are eggs processed?,Yes
images/small/fa/faf8172d.jpg,Is it a phone?,Yes
images/small/fa/faf8172d.jpg,How many objects?,Three
images/small/fa/fa34e05c.jpg,What color are the doors?,White
images/small/fa/fa34e05c.jpg,How many handles are visible?,Two
images/small/fa/faad97fd.jpg,What is the object?,Pan
images/small/fa/faad97fd.jpg,What color is handle?,Black
images/small/fa/fa3ae8ae.jpg,What is the product?,Phone
images/small/fa/fa3ae8ae.jpg,What is the background color?,Black
images/small/fa/fad03a94.jpg,What is the product?,Case
images/small/fa/fad03a94.jpg,What color is the case?,Black
images/small/fa/fa8f8cbb.jpg,What is it?,Ottoman
images/small/fa/fa8f8cbb.jpg,What color is it?,Beige
images/small/fa/fa49bb97.jpg,What is the product?,Case
images/small/fa/fa49bb97.jpg,What is the color?,Green
images/small/fa/fafc2a61.jpg,What color is the case?,Brown
images/small/fa/fafc2a61.jpg,Is there a clasp?,Yes
images/small/fa/fa0c2da7.jpg,What product is shown?,Case
images/small/fa/fa0c2da7.jpg,What color is the case?,Blue
images/small/fa/fa2103e8.jpg,What is the shape?,Rectangular
images/small/fa/fa2103e8.jpg,What is the main color?,Blue
images/small/fa/fa495853.jpg,What is the main subject?,Building
images/small/fa/fa495853.jpg,Is it grayscale?,Yes
images/small/fa/fa30bd3f.jpg,What number is visible?,Fifteen
images/small/fa/fa30bd3f.jpg,What is the item?,Pill
images/small/fa/fa96c725.jpg,What is the product?,Cookie
images/small/fa/fa96c725.jpg,What color is it?,Brown
images/small/fa/fab1b137.jpg,What color is predominant?,Black
images/small/fa/fab1b137.jpg,Is there a camera?,Yes
images/small/fa/fa006281.jpg,What shape is the container?,Round
images/small/fa/fa006281.jpg,What is inside?,Putty
images/small/fa/fa41d98a.jpg,What is the product?,Sofa
images/small/fa/fa41d98a.jpg,What color is the sofa?,Grey
images/small/fa/fa21a7b7.jpg,What is the product?,Deadbolt
images/small/fa/fa21a7b7.jpg,What color is it?,Bronze
images/small/fa/fa1e22f7.jpg,What is the product?,Hamper
images/small/fa/fa1e22f7.jpg,What color is it?,Pink
images/small/fa/fa3bd86b.jpg,What is the product?,Corrector
images/small/fa/fa3bd86b.jpg,Is it opaque?,No
images/small/fa/fa0570fd.jpg,What color are the items?,Black
images/small/fa/fa0570fd.jpg,Is a zipper visible?,Yes
images/small/fa/fa0dfce5.jpg,What product is shown?,Smartphone
images/small/fa/fa0dfce5.jpg,Is there a reflection?,Yes
images/small/fa/fadc28c3.jpg,What is pictured?,Phone
images/small/fa/fadc28c3.jpg,What is the dominant color?,Black
images/small/fa/faa46ebc.jpg,Is there a person?,Yes
images/small/fa/faa46ebc.jpg,What is the product?,Case
images/small/fa/fa75a57b.jpg,What is the product?,Clock
images/small/fa/fa75a57b.jpg,What is the shape?,Round
images/small/fa/fa884785.jpg,What is depicted?,Case
images/small/fa/fa884785.jpg,Are characters present?,Yes
images/small/fa/fadcc5b1.jpg,What color are the flowers?,Pink
images/small/fa/fadcc5b1.jpg,Is it a smartphone?,Yes
images/small/fa/fa447055.jpg,What size capsule?,One
images/small/fa/fa447055.jpg,Are capsules vegan?,Yes
images/small/fa/fab5770a.jpg,What is the primary color?,Red
images/small/fa/fab5770a.jpg,Are flowers present?,Yes
images/small/fa/faf6c874.jpg,Is it a case?,Yes
images/small/fa/faf6c874.jpg,What is the dominant color?,Pink
images/small/fa/fa398132.jpg,What is the item?,Couch
images/small/fa/fa398132.jpg,What is the color?,Beige
images/small/fa/fa6e4617.jpg,What product is shown?,Shoes
images/small/fa/fa6e4617.jpg,What color are the shoes?,Blue
images/small/fa/fa828012.jpg,What is the serving size?,2Tbsp
images/small/fa/fa828012.jpg,How many calories?,190
images/small/fa/fa81fec9.jpg,What are these?,Slides
images/small/fa/fa81fec9.jpg,What material?,Metal
images/small/fa/fa514f52.jpg,What is pictured?,Phone
images/small/fa/fa514f52.jpg,What is the background color?,Black
images/small/fa/fa2fe19a.jpg,What color is shown?,White
images/small/fa/fafad8c5.jpg,What is the product?,Shoe
images/small/fa/fafad8c5.jpg,What color is it?,Black
images/small/fa/fa885558.jpg,What is being held?,Trailmix
images/small/fa/fa885558.jpg,Is the packaging transparent?,Yes
images/small/fa/fa324949.jpg,What flavor is it?,Peanut
images/small/fa/fa324949.jpg,What brand is it?,Solimo
images/small/fa/fa999f66.jpg,What footwear is this?,Flats
images/small/fa/fa999f66.jpg,What color is the shoe?,Blue
images/small/fa/fa803bd0.jpg,What is this?,Beanie
images/small/fa/fa803bd0.jpg,What color is it?,Gray
images/small/fa/fa77851b.jpg,What product is visible?,Binder
images/small/fa/fa77851b.jpg,What color is it?,Black
images/small/fa/fa663f9b.jpg,What are these?,Shoes
images/small/fa/fa663f9b.jpg,What color are they?,Green
images/small/fa/fa65af39.jpg,What product is shown?,Lamp
images/small/fa/fa65af39.jpg,What shape is the base?,Round
images/small/fa/fa210ad4.jpg,What color is the reel?,Green
images/small/fa/fa210ad4.jpg,What shape is the frame?,Triangular
images/small/fa/fae5675b.jpg,What is pictured?,Phone
images/small/fa/fae5675b.jpg,What design is present?,Skull
images/small/fa/faad4c8f.jpg,What animal is pictured?,Cat
images/small/fa/faad4c8f.jpg,What color is the phone?,Pink
images/small/fa/fa058883.jpg,What color is it?,Black
images/small/fa/fa058883.jpg,What is the shape?,Cylindrical
images/small/fa/fa6b1a16.jpg,What are shown?,Tables
images/small/fa/fa6b1a16.jpg,Are people present?,Yes
images/small/fa/fa089dff.jpg,What shape is it?,Round
images/small/fa/fa089dff.jpg,What is its color?,Gray
images/small/fa/fad2ea10.jpg,What is the product?,Case
images/small/fa/fad2ea10.jpg,What color is the phone?,Black
images/small/fa/faa2dbf0.jpg,What appliance is shown?,Pasta
images/small/fa/faa2dbf0.jpg,What is the handle made of?,Wood
images/small/fa/fa99c761.jpg,What product is shown?,Phone
images/small/fa/fa99c761.jpg,Is protection mentioned?,Yes
images/small/fa/fa715f0d.jpg,What is the product?,Phone
images/small/fa/fa715f0d.jpg,Is protection mentioned?,Yes
images/small/fa/fa5ada40.jpg,What shape is the package?,Rectangular
images/small/fa/fa5ada40.jpg,Is a dog shown?,Yes
images/small/fa/faf6ff09.jpg,What color is one liquid?,Orange
images/small/fa/faf6ff09.jpg,How many bottles?,Two
images/small/fa/fae84bc5.jpg,What is the product?,Shoe
images/small/fa/fae84bc5.jpg,What color is shoe?,Brown
images/small/fa/fa59025b.jpg,What shape is the base?,Square
images/small/fa/fa59025b.jpg,What color is the fabric?,Gray
images/small/fa/fa250d9e.jpg,What color is the case?,Black
images/small/fa/fa250d9e.jpg,Is it a phone?,Yes
images/small/fa/fa7adae5.jpg,What is the color?,Red
images/small/fa/fa7adae5.jpg,Are there wheels?,Yes
images/small/fa/fab85941.jpg,What are these?,Shoes
images/small/fa/fab85941.jpg,What color are these?,Gray
images/small/fa/fa403933.jpg,What product is shown?,Rug
images/small/fa/fa403933.jpg,What material is the product made of?,Jute
images/small/fa/fad41f58.jpg,What is the product?,Shoe
images/small/fa/fad41f58.jpg,What color are laces?,Blue
images/small/fa/fa75455f.jpg,What shape is it?,Square
images/small/fa/fa75455f.jpg,What is the product?,Pillow
images/small/fa/fa30f90b.jpg,Contains what?,Wheat
images/small/fa/fa30f90b.jpg,Are eggs listed?,Yes
images/small/fa/fad6bd5a.jpg,Is the product rectangular?,Yes
images/small/fa/fad6bd5a.jpg,What is the product?,Case
images/small/fa/fad63078.jpg,What product is this?,Filter
images/small/fa/fad63078.jpg,What brand is visible?,Amazonbasics
images/small/fa/fa7e5c1b.jpg,Is it red?,Yes
images/small/fa/fa7e5c1b.jpg,Is it rectangular?,Yes
images/small/fa/fa1241d7.jpg,What is the main color?,Orange
images/small/fa/fa1241d7.jpg,Is there blue?,Yes
images/small/fa/fadee2e1.jpg,What is the phone's color?,Yellow
images/small/fa/fadee2e1.jpg,What is the subject?,Tower
images/small/fa/fa29ec90.jpg,Is the Apple logo visible?,Yes
images/small/fa/fa29ec90.jpg,What color is the phone?,Black
images/small/fa/fa0d64bf.jpg,How many grams of sugar?,One
images/small/fa/fa0d64bf.jpg,Is Vitamin C listed?,Yes
images/small/fa/fab98ef4.jpg,How many servings?,Eight
images/small/fa/fab98ef4.jpg,Calories per serving?,110
